date,open,high,low,close,volume,ema,atr,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
1620928800,1.20741,1.20747,1.20644,1.20691,1365,1.2099979448050782,0.001709474074150464,42.655486983059404,-0.0006962347430559124,0.000196301370807639,-0.0008925361138635514
1620932400,1.20692,1.20906,1.20673,1.20795,1422,1.2099775672448287,0.001792210864263728,47.488625797520584,-0.000633522630235861,0.00020721078690215237,-0.0008407334171380133
1620936000,1.20795,1.20796,1.20623,1.20629,1512,1.2099408750334375,0.001783916082361899,41.479269777395494,-0.0007095912298189511,0.00010491374985524993,-0.000814504979674201
1620939600,1.20628,1.20796,1.20623,1.20761,1146,1.2099176822470352,0.0017767272713803137,47.20084759695703,-0.0006558034804342583,0.0001269611993919542,-0.0007827646798262125
1620943200,1.2076,1.20868,1.20757,1.20859,783,1.209904471478408,0.001687830301862931,51.02893994066084,-0.0005280118992305738,0.00020380222447651094,-0.0007318141237070847
1620946800,1.20858,1.20858,1.20795,1.20795,279,1.2098850240010108,0.0015481195949478702,48.553162727864276,-0.0004729271914585276,0.00020710954579884581,-0.0006800367372573734
1620950400,1.20793,1.20826,1.20736,1.20825,173,1.2098687551054783,0.0014617036489548078,49.78306659507747,-0.00040044854928433793,0.0002236705503784284,-0.0006241190996627663
1620954000,1.20826,1.20828,1.20786,1.20786,248,1.2098487674924885,0.0013228098290941784,48.170844813332714,-0.0003702108832015494,0.00020312657316897363,-0.000573337456370523
1620957600,1.20786,1.20792,1.20755,1.20767,312,1.2098270882139563,0.001195768518548315,47.36605215625341,-0.00035745817179000383,0.00017270342766441535,-0.0005301615994544192
1620961200,1.20767,1.20776,1.20711,1.20752,653,1.209804132112325,0.0011229993827418783,46.70266998784089,-0.0003553589457916395,0.00013984212293022377,-0.0004952010687218633
1620964800,1.20751,1.20844,1.2073,1.20825,959,1.2097886681112073,0.001125266131709617,50.34731807156819,-0.00029143096022843373,0.0001630160867947437,-0.0004544470470231774
1620968400,1.20826,1.20852,1.20762,1.20795,747,1.2097703729061207,0.0010952306474816844,48.868343049930466,-0.0002619554050409256,0.00015399331358580148,-0.0004159487186267271
1620972000,1.20795,1.20855,1.20788,1.20854,516,1.2097581303896419,0.001038533227817453,51.86320695588261,-0.0001888112475003645,0.00018170997690109008,-0.00037052122440145457
1620975600,1.20854,1.20878,1.20851,1.20853,309,1.20974591018676,0.000936062130775125,51.8078190166707,-0.00013015059703436194,0.00019229650189367414,-0.0003224470989280361
1620979200,1.20854,1.20976,1.20846,1.20963,583,1.2097447568515685,0.0009845871800050893,57.220018550408874,5.041087485446738e-06,0.0002619905491307863,-0.00025694946164533955
1620982800,1.20964,1.21107,1.20928,1.21073,1859,1.2097545602659807,0.0010919755560044348,61.8357319936818,0.00019865233789251313,0.00036448143963028215,-0.00016582910173776902
1620986400,1.21072,1.21177,1.21056,1.21155,1811,1.2097724253379611,0.001107712148537168,64.87790888228187,0.0004134913251017114,0.0004634563414715843,-4.9965016369872946e-05
1620990000,1.21154,1.21291,1.21132,1.21249,1600,1.209799465881862,0.0011720171953988764,68.02452138579841,0.0006520860720593546,0.0005616408707433821,9.044520131597258e-05
1620993600,1.2125,1.21264,1.21055,1.21098,1227,1.209811212490003,0.0012944149026790162,58.896326865647545,0.0007111322576009993,0.0004965496450280214,0.0002145826125729779
1620997200,1.21099,1.21151,1.21031,1.21137,1151,1.2098267228134854,0.0012818262489884926,60.37529158470396,0.0007804005538787351,0.00045265435304460574,0.00032774620083412935
1621000800,1.21136,1.21256,1.21103,1.21195,1483,1.2098478499496697,0.0013149160824566977,62.53432240558065,0.0008720449392372043,0.0004354389907224599,0.00043660594851474435
1621004400,1.21195,1.21359,1.21183,1.21291,2842,1.2098783191043994,0.0013742606047958026,65.85096811340375,0.0010104894583731205,0.00045910680788670093,0.0005513826504864196
